id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
apt-0008,Adam Riess,Adam,Riess,astrophysicist,science,Johns Hopkins University,United States,1969,,phonetic,3,Riess,Riess resembles rise a weak link to discovering the accelerating expansion of space.,,birth_name,https://en.wikipedia.org/wiki/Adam_Riess,,,Nobel laureate; borderline phonetic fit.,borderline
apt-0016,Akihiko Hoshide,Akihiko,Hoshide,astronaut,science,JAXA,Japan,1968,,translation,4,Hoshi,Hoshi (星) means star in Japanese; he commanded the International Space Station.,Japanese: star,birth_name,https://en.wikipedia.org/wiki/Akihiko_Hoshide,https://en.wiktionary.org/wiki/%E6%98%9F,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%97%E3%83%88%E3%83%AD%E3%83%8B%E3%83%A0,,verified
apt-0021,Alan Heavens,Alan,Heavens,astronomer,science,,United States,,,semantic,4,Heavens,His surname names the sky studied by astronomers.,,birth_name,https://en.wikipedia.org/wiki/Alan_Heavens,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
apt-0025,Alessandro Volta,Alessandro,Volta,physicist,science,,Italy,1745,1827,direct,5,Volta,The volt unit of electric potential is named directly for him.,,birth_name,https://en.wikipedia.org/wiki/Alessandro_Volta,,,Inventor of the voltaic pile.,verified
apt-0027,Alexander Graham Bell,Alexander,Bell,inventor,science,,United States,1847,1922,semantic,5,Bell,"He invented the telephone, an instrument that rings a bell.",,birth_name,https://en.wikipedia.org/wiki/Alexander_Graham_Bell,,https://en.wikipedia.org/wiki/Aptronym,,verified
apt-0028,Alfred Adler,Alfred,Adler,psychiatrist,science,,Austria,1870,1937,translation,4,Adler,Adler means eagle in German; Jung linked his surname to the will to power.,German: eagle,birth_name,https://en.wikipedia.org/wiki/Alfred_Adler,https://en.wiktionary.org/wiki/Adler,https://en.wikipedia.org/wiki/Nominative_determinism,Founder of individual psychology.,verified
apt-0032,Alfred Russel Wallace,Alfred,Wallace,naturalist,science,,England,1823,1913,semantic,2,Wallace,Wallace suggests a wall only weakly for the co-discoverer of natural selection.,English topographic: wall,birth_name,https://en.wikipedia.org/wiki/Alfred_Russel_Wallace,https://www.etymonline.com/word/wall,,Independent discovery of evolution by natural selection.,borderline
apt-0036,Allison Field,Allison,Field,television meteorologist,weather,WABC New York,United States,,,semantic,4,Field,"Like her father Frank Field, her surname Field suits a broadcast meteorologist.",,birth_name,https://en.wikipedia.org/wiki/Frank_Field_(meteorologist),https://en.wiktionary.org/wiki/field,,Daughter of Frank Field; occupation confirmed via Frank Field Wikipedia article.,verified
apt-0041,Amy Castor,Amy,Castor,storm tracker,weather,News 9 Oklahoma City,United States,,,phonetic,2,Castor,"Her surname Castor echoes caster, fitting a field storm tracker who feeds live weather video.",,birth_name,https://www.cbsnews.com/news/storm-chasers-val-and-amy-castor/,,,,verified
apt-0042,Amy Freeze,Amy,Freeze,meteorologist,weather,WABC-TV,United States,,,semantic,5,Freeze,Her surname evokes cold weather she reports on.,,birth_name,https://en.wikipedia.org/wiki/Amy_Freeze,,https://en.wikipedia.org/wiki/Aptronym,,verified
