id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Jim Pitcher,Jim,Pitcher,minor league baseball player,sports,Cairo (KITL),United States,,2013,direct,5,Pitcher,His surname is the same word as his role on the field.,,birth_name,https://www.baseball-reference.com/register/player.fcgi?id=pitche001jam,,,,verified
,Lance Painter,Lance,Painter,MLB pitcher,sports,Colorado Rockies,United States,1967,,direct,5,Painter,His surname matches the position name pitcher.,,birth_name,https://www.baseball-reference.com/players/p/paintla01.shtml,,,,verified
,Andrew Painter,Andrew,Painter,MLB pitcher,sports,Philadelphia Phillies,United States,2003,,direct,5,Painter,His surname matches the position name pitcher.,,birth_name,https://www.baseball-reference.com/players/p/paintan01.shtml,,,,verified
,Jake Striker,Jake,Striker,MLB pitcher,sports,Cleveland Indians,United States,1933,,direct|wordplay,4,Striker,As a pitcher his surname evokes both strikeouts and the word strike.,,birth_name,https://www.baseball-reference.com/players/s/strikja01.shtml,,,Birth name Wilbur Scott Striker.,verified
,Herb Score,Herb,Score,MLB pitcher,sports,Cleveland Indians,United States,1933,2008,semantic,4,Score,His surname is the basic unit of baseball offense.,,birth_name,https://www.baseball-reference.com/players/s/scorehe01.shtml,,,,verified
,Scott Diamond,Scott,Diamond,MLB pitcher,sports,Minnesota Twins,Canada,1986,,semantic,4,Diamond,He pitched on the sport's diamond-shaped infield.,,birth_name,https://www.baseball-reference.com/players/d/diamosc01.shtml,,,,verified
,Phil Roof,Phil,Roof,MLB catcher,sports,Minnesota Twins,United States,1941,,wordplay,3,Roof,A catcher works beneath the grandstand roof behind home plate.,,birth_name,https://www.baseball-reference.com/players/r/roofph01.shtml,,,,verified
,Gene Roof,Gene,Roof,MLB outfielder and coach,sports,St. Louis Cardinals,United States,1958,,wordplay,3,Roof,His surname echoes the stadium roof above the field he patrolled.,,birth_name,https://www.baseball-reference.com/players/r/roofge01.shtml,,,,verified
,Pinch Thomas,Pinch,Thomas,MLB catcher,sports,Boston Red Sox,United States,1888,1957,direct,4,Pinch,His first name Pinch is the baseball term for a substitute hitter.,,professional_name,https://www.baseball-reference.com/players/t/thomapi01.shtml,,,Birth name Chester David Thomas; Pinch was his longtime nickname.,verified
,Home Run Baker,Frank,Baker,MLB third baseman,sports,Philadelphia Athletics,United States,1886,1963,wordplay,5,Home Run,His nickname Home Run Baker matched his reputation as a power hitter.,,professional_name,https://www.baseball-reference.com/players/b/bakerfr01.shtml,,https://sabr.org/journal/article/when-did-frank-baker-become-home-run-baker/,Listed as Home Run Baker; birth name John Franklin Baker.,verified
,Homer Smoot,Homer,Smoot,MLB center fielder,sports,St. Louis Cardinals,United States,1878,1928,semantic,4,Homer,His given name Homer is slang for a home run.,,birth_name,https://www.baseball-reference.com/players/s/smootho01.shtml,,,,verified
,Homer Bush,Homer,Bush,MLB infielder,sports,Toronto Blue Jays,United States,1972,,semantic,4,Homer,His given name Homer is slang for a home run.,,birth_name,https://www.baseball-reference.com/players/b/bushho01.shtml,,,,verified
