id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Mauro Del Giudice,Mauro,Del Giudice,magistrate and jurist,law,,Italy,1857,1951,translation,5,Giudice,Del Giudice means of the judge in Italian and he served as a magistrate who led the Matteotti murder inquiry.,Italian: judge (giudice),birth_name,https://en.wikipedia.org/wiki/Mauro_Del_Giudice,https://en.wiktionary.org/wiki/giudice,https://www.nomix.it/nomi-mestieri-nomen-omen.php,,verified
,Bruno Bozzetto,Bruno,Bozzetto,animator and film director,arts,Bruno Bozzetto Film,Italy,1938,,translation,4,Bozzetto,Bozzetto means a preparatory sketch or model and he has drawn animated films for six decades.,Italian: sketch (bozzetto),birth_name,https://en.wikipedia.org/wiki/Bruno_Bozzetto,https://it.wikipedia.org/wiki/Bozzetto,,,verified
,Stefano Disegni,Stefano,Disegni,satirical cartoonist,arts,,Italy,1953,,translation,3,Disegni,Disegni is the plural of drawing in Italian and he works as a vignettista and strip artist.,Italian: drawings (disegni),professional_name,https://it.wikipedia.org/wiki/Stefano_Disegni,https://it.wiktionary.org/wiki/disegno,https://www.nomix.it/nomi-mestieri-nomen-omen.php,Born Stefano Di Segni; Disegni is his professional name.,verified
,Carlo Buontempo,Carlo,Buontempo,climate service director,weather,Copernicus Climate Change Service,Italy,1973,,translation,4,Buontempo,Buontempo compounds buon tempo meaning good weather in Italian and he directs Europe's Copernicus climate service.,Italian: good weather (buon + tempo),birth_name,https://www.ecmwf.int/en/about/who-we-are/staff-profiles/carlo-buontempo,https://en.wiktionary.org/wiki/buono,,No dedicated Wikipedia biography; ECMWF staff profile confirms role.,verified
,Panagiotis Zographos,Panagiotis,Zographos,painter,arts,,Greece,,,translation,5,Zographos,Zographos means painter in Greek and he painted battle scenes commissioned by General Makriyannis.,Greek: painter (zographos),birth_name,https://en.wikipedia.org/wiki/Panagiotis_Zographos,https://en.wikipedia.org/wiki/Zografos,,,verified
,Lazarus Zographos,Lazarus,Zographos,iconographer and monk,religion,,Byzantine Empire,810,865,translation,5,Zographos,He was surnamed Zographos meaning the Painter and worked as a Byzantine iconographer.,Greek: painter (zographos),birth_name,https://en.wikipedia.org/wiki/Lazarus_Zographos,https://en.wikipedia.org/wiki/Zografos,,,verified
,Constantinos Daskalakis,Constantinos,Daskalakis,theoretical computer science professor,education,MIT,United States,1981,,translation,3,Daskalakis,Daskalakis derives from daskalos meaning teacher in Greek and he is a university professor.,Greek: teacher (daskalos),birth_name,https://en.wikipedia.org/wiki/Constantinos_Daskalakis,https://en.wiktionary.org/wiki/%CE%B4%CE%AC%CF%83%CE%BA%CE%B1%CE%BB%CE%BF%CF%82,,Patronymic surname; parents were schoolteachers per Wikipedia.,verified
,Fikri Sönmez,Fikri,Sönmez,tailor and mayor,politics,Fatsa, Turkey,1938,1985,translation,4,Terzi,He was widely known as Terzi Fikri because terzi means tailor in Turkish and he worked as a tailor before entering politics.,Turkish: tailor (terzi),birth_name,https://en.wikipedia.org/wiki/Fikri_S%C3%B6nmez,https://tr.wikipedia.org/wiki/Terzi,,Terzi is an epithet rather than his legal surname Sönmez.,verified
,Paulinho Boca de Cantor,Paulinho,Boca de Cantor,singer and composer,arts,,Brazil,1946,,translation,4,Cantor,His stage surname Boca de Cantor includes cantor meaning singer in Portuguese.,Portuguese: singer (cantor),professional_name,https://en.wikipedia.org/wiki/Paulinho_Boca_de_Cantor,https://en.wiktionary.org/wiki/cantor#Portuguese,https://www.linoresende.jor.br/nomes-mais-que-apropriados/,,verified
,Zé Cantor,Zé,Cantor,forró singer,arts,,Brazil,1971,,translation,3,Cantor,His stage name Zé Cantor pairs the word cantor meaning singer in Portuguese with his career as a vocalist.,Portuguese: singer (cantor),professional_name,https://pt.wikipedia.org/wiki/Z%C3%A9_Cantor,https://en.wiktionary.org/wiki/cantor#Portuguese,,Given name José Raimundo de Lima; Cantor was assigned by João Bandeira.,verified
,John Owen Jones,John Owen,Jones,campaigning journalist,media,,United Kingdom,1861,1899,translation,3,Ap Ffarmwr,He wrote under the pen name Ap Ffarmwr meaning farmer's son in Welsh while campaigning for agricultural labourers.,Welsh: farmer's son (ap + ffarmwr),pseudonym,https://en.wikipedia.org/wiki/John_Owen_Jones_(Ap_Ffarmwr),https://en.wiktionary.org/wiki/ffarm,https://www.biography.wales/article/s1-JONE-OWN-1861,,verified
,Tuomari Nurmio,Tuomari,Nurmio,rock singer-songwriter,arts,,Finland,1950,,translation,3,Tuomari,He performs as Tuomari Nurmio because tuomari means judge in Finnish and he holds a law degree.,Finnish: judge (tuomari),professional_name,https://en.wikipedia.org/wiki/Tuomari_Nurmio,https://en.wiktionary.org/wiki/tuomari,,Birth name Hannu Juhani Nurmio; stage name references his legal qualification.,verified
,Mícheál Ó Cléirigh,Mícheál,Ó Cléirigh,Franciscan friar and chronicler,education,,Ireland,1590,1643,translation,3,Ó Cléirigh,Ó Cléirigh is cognate with cleric in Irish and he was a Franciscan scribe who compiled the Annals of the Four Masters.,Irish: cleric (cléireach),birth_name,https://en.wikipedia.org/wiki/M%C3%ADche%C3%A1l_%C3%93_Cl%C3%A9irigh,https://en.wikipedia.org/wiki/O_Cleirigh,,,verified
,Haji Shaukat Ali Lohar,Haji Shaukat Ali,Lohar,agricultural machinery manufacturer and mayor,politics,Bhawana,Pakistan,,,translation,3,Lohar,Lohar means blacksmith in Urdu and he began his career in ironwork before manufacturing farm machinery.,Urdu/Hindi: blacksmith (lohar),birth_name,https://republicreporter.com/2024/02/why-is-the-election-significant-in-pp-97-chiniot-iv-in-the-whole-pakistan/,https://en.wikipedia.org/wiki/Lohar_(caste),https://news.prfree.org/@rafhanshaukat/serving-bhawana-for-a-good-casue-haji-shaukat-ali-lohar-86kpp68jakr4,No Wikipedia biography; verified via Pakistani news coverage of three-term councillor and manufacturer.,probable
